"","time","P","V","Pv","I","gamma_out","lambda_out"
"166",16.5,0.00136040322160427,5.09887546290358e-06,1.8842869145916e-11,3.3058163523578e-15,2.5e-07,0.025
"167",16.6,0.00130706105956699,4.89927720842369e-06,1.73953885352443e-11,3.05186855872249e-15,2.5e-07,0.025
"168",16.7,0.00125581047279158,4.70748043693059e-06,1.60590588292203e-11,2.81742121749749e-15,2.5e-07,0.025
"169",16.8,0.00120656944950115,4.52318111358589e-06,1.48253495754048e-11,2.60097773555772e-15,2.5e-07,0.025
"170",16.9,0.00115925919364186,4.3460869850847e-06,1.36863844524819e-11,2.40115628134828e-15,2.5e-07,0.025
"171",17,0.00111380399879297,4.17591712817111e-06,1.26348911820335e-11,2.21668099734531e-15,2.5e-07,0.025
"172",17.1,0.00107013112702095,4.01240151507223e-06,1.1664155282958e-11,2.04637388667517e-15,2.5e-07,0.025
"173",17.2,0.00102817069248369,3.85528059524625e-06,1.07679773323139e-11,1.8891473149042e-15,2.5e-07,0.025
"174",17.3,0.000987855549598748,3.70430489285898e-06,9.9406334801277e-12,1.74399708270744e-15,2.5e-07,0.025
"175",17.4,0.000949121185596425,3.55923461942246e-06,9.17683899970343e-12,1.60999603108997e-15,2.5e-07,0.025
"176",17.5,0.000911905617285989,3.41983930104762e-06,8.47171464043384e-12,1.48628813828298e-15,2.5e-07,0.025
"177",17.6,0.000876149291869664,3.28589741978096e-06,7.82075555071471e-12,1.37208306754168e-15,2.5e-07,0.025
"178",17.7,0.000841794991645777,3.15719606851275e-06,7.21980257053662e-12,1.26665113068208e-15,2.5e-07,0.025
"179",17.8,0.000808787742448514,3.0335306189615e-06,6.66501572270996e-12,1.16931863734868e-15,2.5e-07,0.025
"180",17.9,0.000777074725677799,2.91470440225599e-06,6.15284973983127e-12,1.07946360143534e-15,2.5e-07,0.025
"181",18,0.000746605193778519,2.80052840165237e-06,5.68003146670721e-12,9.96511776538721e-16,2.5e-07,0.025
"182",18.1,0.000717330389033828,2.69082095693971e-06,5.2435389838559e-12,9.19932993360092e-16,2.5e-07,0.025
"183",18.2,0.000689203465542626,2.58540748010275e-06,4.8405823351839e-12,8.49237778544078e-16,2.5e-07,0.025
"184",18.3,0.000662179414256304,2.4841201818251e-06,4.46858578346636e-12,7.83974241555612e-16,2.5e-07,0.025
"185",18.4,0.000636214990954862,2.3867978084313e-06,4.125171314014e-12,7.2372518055474e-16,2.5e-07,0.025
"186",18.5,0.000611268647047084,2.29328538887964e-06,3.80814346768095e-12,6.68105421462846e-16,2.5e-07,0.025
"187",18.6,0.000587300463084092,2.20343399143116e-06,3.51547535453228e-12,6.16759364197445e-16,2.5e-07,0.025
"188",18.7,0.000564272084879854,2.11710048963416e-06,3.24529572885976e-12,5.69358715090389e-16,2.5e-07,0.025
"189",18.8,0.000542146662136429,2.03414733727544e-06,2.99587703569265e-12,5.2560038975503e-16,2.5e-07,0.025
"190",18.9,0.000520888789475761,1.9544423519626e-06,2.76562437475704e-12,4.85204576908859e-16,2.5e-07,0.025
"191",19,0.000500464449783627,1.87785850701337e-06,2.55306532256573e-12,4.47912952748501e-16,2.5e-07,0.025
"192",19.1,0.000480840959775102,1.80427373133959e-06,2.35684053767369e-12,4.13487032724302e-16,2.5e-07,0.025
"193",19.2,0.000461986917694428,1.73357071702482e-06,2.17569508008157e-12,3.81706648605709e-16,2.5e-07,0.025
"194",19.3,0.000443872153065595,1.66563673430534e-06,2.00847039324015e-12,3.52368541794098e-16,2.5e-07,0.025
"195",19.4,0.000426467678413223,1.60036345367488e-06,1.8540969041443e-12,3.25285065074077e-16,2.5e-07,0.025
"196",19.5,0.000409745642876497,1.53764677484355e-06,1.71158719388181e-12,3.00282984446193e-16,2.5e-07,0.025
"197",19.6,0.000393679287641911,1.47738666229123e-06,1.58002969106363e-12,2.77202372694533e-16,2.5e-07,0.025
"198",19.7,0.000378242903123532,1.41948698716543e-06,1.45858284719724e-12,2.55895587507003e-16,2.5e-07,0.025
"199",19.8,0.000363411787822231,1.36385537528235e-06,1.34646975915431e-12,2.36226328034356e-16,2.5e-07,0.025
"200",19.9,0.000349162208798071,1.31040306099927e-06,1.24297320552718e-12,2.18068764062438e-16,2.5e-07,0.025
"201",20,0.000335471363692593,1.25904474673454e-06,1.14743106415822e-12,2.01306732057882e-16,2.5e-07,0.025
"202",20.1,0.000322317344240223,1.20969846791994e-06,1.05923207933709e-12,1.85832992560049e-16,2.5e-07,0.025
"203",20.2,0.000309679101210418,1.16228546317808e-06,9.77811954878847e-13,1.71548544745577e-16,2.5e-07,0.025
"204",20.3,0.00029753641072445,1.11673004952519e-06,9.02649757614215e-13,1.58361995451735e-16,2.5e-07,0.025
"205",20.4,0.000285869841892914,1.07295950240726e-06,8.33264574052681e-13,1.4618897261968e-16,2.5e-07,0.025
"206",20.5,0.000274660725722205,1.03090394038432e-06,7.69212437081661e-13,1.34951586107065e-16,2.5e-07,0.025
"207",20.6,0.000263891125240167,9.90496214284897e-07,7.10083492335394e-13,1.24577930555216e-16,2.5e-07,0.025
