,parameter,equilibrium,nature,complex_eigenvalues,resilience,reactivity,real_eigen_zero,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4
223,2.23E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999777
224,2.24E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999776
225,2.25E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999775
226,2.26E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999774
227,2.27E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999773
228,2.28E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999772
229,2.29E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999771
230,2.30E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799977
231,2.31E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999769
232,2.32E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999768
233,2.33E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999767
234,2.34E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999766
235,2.35E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999765
236,2.36E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999764
237,2.37E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999763
238,2.38E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999762
239,2.39E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999761
240,2.40E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799976
